                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                 3.8803,                 49.986,                 2.3894,                  8e-05,                0.00053,                  4e-05,                      0,                 3.9471,                  21.46,                 1.8096,                  0.001,                  0.001,                  0.001
                      1,                 3.3793,                 32.902,                 1.3467,                0.00032,                0.00213,                0.00016,                  2e-05,                 3.0929,                 8.7271,                 1.3559,                  0.001,                  0.001,                  0.001
                      2,                 2.8468,                 17.485,                 1.0535,                0.00095,                0.00639,                 0.0005,                0.00017,                 2.7259,                 6.7848,                 1.3006,             0.00099999,             0.00099999,             0.00099999
                      3,                 2.3202,                 18.382,                0.95466,                0.03476,                0.23335,                0.14015,                0.04252,                  2.395,                 5.0249,                 1.2134,             0.00099998,             0.00099998,             0.00099998
                      4,                 2.5434,                 12.685,                 1.0894,                0.01786,                0.11987,                0.06222,                0.02179,                 2.3823,                 5.0383,                 1.2394,             0.00099995,             0.00099995,             0.00099995
                      5,                 2.3725,                 11.434,                0.99673,                0.04294,                0.28823,                0.17991,                0.06337,                 2.1814,                 4.5355,                 1.1483,             0.00099991,             0.00099991,             0.00099991
                      6,                 2.3614,                 12.984,                 1.0322,                0.40986,                0.29675,                 0.2002,                0.07958,                 2.2355,                 4.2181,                 1.1761,             0.00099986,             0.00099986,             0.00099986
                      7,                 2.2314,                 11.192,                0.96653,                0.56679,                0.28556,                0.27101,                0.09548,                 2.1688,                 3.6825,                 1.1549,              0.0009998,              0.0009998,              0.0009998
                      8,                 2.0788,                 14.846,                 0.8722,                0.03024,                0.20298,                0.12089,                0.03875,                 2.1968,                 4.2602,                 1.1501,             0.00099973,             0.00099973,             0.00099973
                      9,                 2.0419,                 13.738,                0.88035,                0.04444,                0.29835,                 0.1844,                0.05777,                 2.3281,                 4.1976,                 1.1627,             0.00099965,             0.00099965,             0.00099965
                     10,                 2.0447,                 11.252,                0.89672,                0.51521,                0.36548,                0.30515,                0.11105,                 2.1136,                 3.6498,                 1.1477,             0.00099956,             0.00099956,             0.00099956
                     11,                 1.9325,                 11.194,                0.90081,                 0.6662,                0.19339,                0.27046,                0.08928,                 2.0879,                 3.5478,                 1.1178,             0.00099945,             0.00099945,             0.00099945
                     12,                 2.0284,                 8.7127,                 0.9171,                 0.7226,                0.26212,                0.32868,                0.12146,                 2.0302,                 3.2709,                 1.1187,             0.00099934,             0.00099934,             0.00099934
                     13,                 1.9472,                 7.7749,                0.91689,                0.62755,                0.35642,                0.33643,                0.12685,                 2.0941,                 3.0809,                 1.1314,             0.00099921,             0.00099921,             0.00099921
                     14,                  1.784,                 10.759,                0.84982,                0.04778,                0.32072,                0.25538,                0.09318,                 2.1446,                 4.0151,                  1.139,             0.00099907,             0.00099907,             0.00099907
                     15,                 2.0844,                 7.2247,                0.92129,                0.58829,                0.31113,                0.30448,                0.11404,                 2.0384,                 3.0977,                 1.1238,             0.00099893,             0.00099893,             0.00099893
                     16,                  1.813,                 8.6251,                0.81422,                0.59357,                0.23265,                0.26938,                0.10329,                   2.08,                 3.3488,                 1.1228,             0.00099877,             0.00099877,             0.00099877
                     17,                 1.9454,                  7.224,                0.86013,                0.57496,                0.36974,                0.32261,                0.13312,                 2.0495,                 3.1006,                 1.1072,              0.0009986,              0.0009986,              0.0009986
                     18,                 2.0195,                 7.0702,                0.91385,                0.65554,                0.26532,                0.31327,                0.11589,                 2.1023,                 3.0178,                 1.1127,             0.00099842,             0.00099842,             0.00099842
                     19,                 2.1751,                 6.3985,                0.95457,                   0.04,                0.26851,                0.16428,                0.04588,                 2.2117,                  3.856,                 1.1275,             0.00099822,             0.00099822,             0.00099822
                     20,                 2.1169,                 5.7052,                0.94319,                0.36854,                 0.4081,                0.32706,                0.12054,                 1.9967,                 2.9914,                 1.1123,             0.00099802,             0.00099802,             0.00099802
                     21,                 1.9035,                 6.3843,                0.87373,                 0.5971,                0.31327,                0.29357,                0.12228,                 2.1104,                 2.7977,                 1.1283,             0.00099781,             0.00099781,             0.00099781
                     22,                 1.8956,                 5.5122,                0.86092,                 0.5479,                0.35749,                0.31493,                0.12065,                 2.0848,                 2.5135,                 1.1073,             0.00099758,             0.00099758,             0.00099758
                     23,                 1.9714,                 4.6446,                0.93253,                0.58674,                0.34949,                 0.3247,                0.13306,                 2.0957,                 2.4781,                 1.1215,             0.00099735,             0.00099735,             0.00099735
                     24,                 1.9996,                 4.5037,                0.95127,                0.74415,                0.29287,                0.34201,                0.13364,                 2.1251,                  2.777,                 1.1361,              0.0009971,              0.0009971,              0.0009971
                     25,                 1.9308,                 4.9962,                0.89351,                0.62365,                 0.3138,                0.30471,                0.11689,                 2.1967,                 2.4687,                 1.1579,             0.00099685,             0.00099685,             0.00099685
                     26,                 1.8876,                 4.7526,                0.88053,                0.60809,                0.32074,                0.31163,                0.11773,                  2.116,                 2.4929,                 1.1381,             0.00099658,             0.00099658,             0.00099658
                     27,                 1.8343,                  4.614,                0.86998,                0.70088,                 0.3383,                0.36054,                0.14301,                 2.0799,                   2.32,                 1.1225,              0.0009963,              0.0009963,              0.0009963
                     28,                 1.8993,                 4.3875,                0.87869,                0.67518,                0.35589,                0.36721,                0.15211,                 1.9779,                 2.2858,                 1.0989,             0.00099601,             0.00099601,             0.00099601
                     29,                  1.686,                 4.8878,                0.77032,                0.78744,                0.30395,                0.36327,                0.13914,                 1.9787,                 2.7662,                 1.0808,             0.00099571,             0.00099571,             0.00099571
                     30,                 1.8357,                 4.0044,                0.87726,                0.73409,                 0.3415,                0.37947,                0.14628,                 2.0745,                 2.3004,                 1.1113,              0.0009954,              0.0009954,              0.0009954
                     31,                 1.8212,                 4.2506,                0.88991,                0.75693,                0.30361,                0.34476,                0.12508,                 2.2064,                 2.4702,                 1.1359,             0.00099508,             0.00099508,             0.00099508
                     32,                 1.8722,                 3.5339,                0.90178,                0.65394,                0.35136,                0.35685,                0.13931,                 2.0486,                 1.9943,                 1.0964,             0.00099474,             0.00099474,             0.00099474
                     33,                 1.8461,                 3.9352,                0.88432,                0.70743,                0.28716,                0.31698,                0.12558,                 2.1516,                 2.7896,                 1.1227,              0.0009944,              0.0009944,              0.0009944
                     34,                 1.7198,                 3.9633,                0.79858,                0.70892,                0.39315,                0.40629,                0.17523,                 1.8621,                 2.0605,                  1.073,             0.00099404,             0.00099404,             0.00099404
                     35,                 1.7734,                 3.8852,                0.84804,                0.75271,                0.36335,                0.40039,                0.17555,                 1.9117,                 2.3306,                 1.0953,             0.00099368,             0.00099368,             0.00099368
                     36,                 1.8316,                   3.06,                0.90854,                0.68426,                0.36716,                0.37713,                0.16246,                 2.0192,                 2.1077,                 1.1331,              0.0009933,              0.0009933,              0.0009933
                     37,                 1.8069,                 3.5891,                0.87183,                0.70165,                0.26425,                 0.3318,                0.15268,                 2.0349,                 2.6376,                 1.1141,             0.00099291,             0.00099291,             0.00099291
                     38,                 1.7541,                  3.416,                0.83185,                0.55304,                0.39584,                0.38639,                0.16806,                 1.8635,                 2.2351,                 1.0817,             0.00099252,             0.00099252,             0.00099252
                     39,                 1.6549,                 3.8808,                0.80948,                0.70317,                 0.2865,                0.38082,                0.13323,                 2.1766,                 2.7591,                 1.1224,             0.00099211,             0.00099211,             0.00099211
                     40,                 1.8212,                 3.4293,                 0.8557,                0.76029,                 0.3633,                0.43863,                0.18642,                 1.8862,                  2.331,                 1.0849,             0.00099169,             0.00099169,             0.00099169
                     41,                 1.9448,                 4.0526,                0.88964,                0.68635,                0.38466,                0.40237,                0.15271,                 1.9417,                 2.1042,                 1.0796,             0.00099126,             0.00099126,             0.00099126
                     42,                 1.8379,                 3.8865,                0.82852,                0.71247,                0.27011,                0.36381,                0.12072,                 2.1476,                 2.6694,                 1.0838,             0.00099082,             0.00099082,             0.00099082
                     43,                 1.8854,                 3.0029,                0.89844,                0.56061,                0.33085,                0.33944,                0.13347,                 1.9398,                 2.2168,                 1.0602,             0.00099037,             0.00099037,             0.00099037
                     44,                 1.8823,                 3.1822,                0.84848,                0.69296,                0.36313,                0.40812,                 0.1774,                 1.8992,                 2.1745,                 1.0708,              0.0009899,              0.0009899,              0.0009899
                     45,                 1.7469,                 2.9077,                0.88432,                 0.6926,                0.35056,                0.40698,                0.16457,                 1.9469,                 2.2388,                 1.0973,             0.00098943,             0.00098943,             0.00098943
                     46,                 1.8366,                 2.7098,                0.92073,                0.67361,                0.37054,                0.41962,                0.17689,                 1.9364,                 2.0798,                 1.0932,             0.00098895,             0.00098895,             0.00098895
                     47,                  1.794,                 2.6756,                0.87117,                0.67462,                0.37453,                0.40225,                0.15525,                 2.0431,                 2.1423,                  1.105,             0.00098845,             0.00098845,             0.00098845
                     48,                 1.7897,                 2.9918,                0.86676,                0.77862,                0.34044,                0.41671,                0.16601,                 1.9837,                 2.3919,                 1.1082,             0.00098795,             0.00098795,             0.00098795
                     49,                 1.8678,                 2.8072,                0.89586,                0.69262,                0.36856,                0.39063,                0.14203,                   1.92,                  1.998,                 1.1026,             0.00098743,             0.00098743,             0.00098743
                     50,                 1.8412,                 2.5135,                0.86651,                0.63586,                0.36004,                0.38758,                0.15831,                 2.0982,                 2.0599,                 1.1273,             0.00098691,             0.00098691,             0.00098691
                     51,                  1.688,                 2.6448,                0.79976,                0.73271,                 0.3724,                0.44501,                0.18641,                 1.8844,                 2.1143,                 1.0735,             0.00098637,             0.00098637,             0.00098637
                     52,                 1.7944,                 2.6061,                0.88687,                0.68726,                0.37698,                0.39358,                0.13961,                 1.9061,                  1.915,                 1.0697,             0.00098582,             0.00098582,             0.00098582
                     53,                 1.8162,                 2.6581,                0.84964,                0.81399,                0.33571,                 0.4274,                0.16132,                  1.907,                 2.1848,                 1.0481,             0.00098527,             0.00098527,             0.00098527
                     54,                 1.8923,                 2.7286,                0.89393,                0.71943,                0.41289,                0.44141,                0.19123,                 1.7918,                 1.8035,                 1.0311,              0.0009847,              0.0009847,              0.0009847
                     55,                 1.7267,                 2.7447,                0.80852,                0.71796,                0.29023,                0.38469,                0.14181,                 2.1614,                 2.5176,                 1.1213,             0.00098412,             0.00098412,             0.00098412
                     56,                 1.8708,                 2.8591,                0.87891,                0.76236,                0.27859,                0.37849,                0.13377,                 1.9131,                 2.3485,                 1.0455,             0.00098353,             0.00098353,             0.00098353
                     57,                 1.6097,                 2.8415,                0.77755,                0.73467,                0.35699,                 0.4184,                0.16436,                 1.8255,                 2.1612,                 1.0472,             0.00098293,             0.00098293,             0.00098293
                     58,                 1.7938,                 2.4821,                0.86561,                0.70059,                0.35269,                0.38975,                0.15439,                 1.9325,                 2.2127,                   1.08,             0.00098232,             0.00098232,             0.00098232
                     59,                 1.7773,                 2.5298,                0.86933,                 0.7665,                0.38785,                0.44916,                0.20961,                 1.8033,                 1.9118,                 1.0448,              0.0009817,              0.0009817,              0.0009817
                     60,                 1.7035,                 2.3253,                0.82975,                0.76237,                0.32072,                0.43425,                0.18824,                 1.9287,                 2.4749,                 1.0621,             0.00098106,             0.00098106,             0.00098106
                     61,                 1.7692,                 2.7084,                0.85198,                0.63639,                0.35429,                0.37514,                 0.1443,                 2.0488,                 1.9746,                 1.1139,             0.00098042,             0.00098042,             0.00098042
                     62,                 1.8156,                 2.3535,                0.87396,                0.70629,                0.35109,                0.42783,                0.19601,                  1.969,                 2.2507,                  1.092,             0.00097977,             0.00097977,             0.00097977
                     63,                 1.8671,                 2.3739,                0.86853,                0.74116,                0.39052,                0.44526,                0.20007,                 1.7925,                 1.9342,                 1.0292,             0.00097911,             0.00097911,             0.00097911
                     64,                 1.7429,                 2.2065,                0.83178,                0.67047,                0.33937,                 0.3873,                0.14166,                 2.0477,                 2.1876,                 1.0509,             0.00097843,             0.00097843,             0.00097843
                     65,                 1.7026,                 2.4755,                0.81093,                0.73253,                0.33831,                0.42002,                0.16869,                 1.8431,                 2.0743,                 1.0425,             0.00097775,             0.00097775,             0.00097775
                     66,                 1.7604,                 2.2669,                0.86588,                0.71202,                0.37805,                0.40689,                 0.1669,                 1.9325,                 1.9327,                 1.0646,             0.00097706,             0.00097706,             0.00097706
                     67,                 1.7057,                 2.5146,                0.82269,                0.77963,                0.32552,                 0.3896,                0.15957,                 1.8833,                 2.5123,                 1.0487,             0.00097635,             0.00097635,             0.00097635
                     68,                 1.7535,                 2.3917,                0.83838,                0.74316,                0.37826,                0.41399,                0.17758,                 1.8266,                  1.945,                 1.0488,             0.00097564,             0.00097564,             0.00097564
                     69,                 1.7175,                 2.7965,                0.82839,                0.67612,                0.34949,                0.35508,                0.11699,                 2.1245,                 2.0548,                 1.0905,             0.00097491,             0.00097491,             0.00097491
