                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                 1.6118,                 9.7149,                0.80756,                 0.6873,                0.44326,                0.44719,                0.19288,                 1.7819,                 2.3281,                 1.0045,                  0.001,                  0.001,                  0.001
                      1,                 1.8178,                 5.3319,                0.88018,                0.67745,                0.39744,                0.40826,                0.18121,                 1.8836,                 2.1002,                 1.0595,                  0.001,                  0.001,                  0.001
                      2,                 1.7237,                 1.9318,                0.85274,                0.76395,                0.38998,                0.43137,                0.18097,                 1.9557,                 2.1662,                 1.1308,             0.00099998,             0.00099998,             0.00099998
                      3,                 1.6694,                 1.6102,                0.85343,                0.80458,                0.41017,                0.45236,                0.21125,                 1.7382,                 2.0798,                 1.0475,             0.00099991,             0.00099991,             0.00099991
                      4,                 1.7349,                 1.7966,                0.90688,                0.81921,                0.40315,                0.45808,                0.22167,                 1.7357,                 1.8379,                 1.0282,              0.0009998,              0.0009998,              0.0009998
                      5,                 1.6199,                 1.7287,                 0.8642,                0.69989,                0.40877,                0.41271,                0.16809,                 1.7922,                  1.949,                 1.0675,             0.00099965,             0.00099965,             0.00099965
                      6,                  1.662,                 1.6684,                0.88536,                0.74893,                 0.3756,                0.44706,                0.19589,                 1.8586,                  2.102,                  1.066,             0.00099945,             0.00099945,             0.00099945
                      7,                 1.7314,                 1.7291,                  0.885,                0.75418,                0.41556,                0.42867,                0.19058,                 1.7958,                 1.5579,                  1.038,             0.00099921,             0.00099921,             0.00099921
                      8,                 1.5011,                 1.9605,                0.76318,                0.73348,                0.37681,                0.36626,                0.15246,                 1.8169,                 3.1337,                 1.0775,             0.00099893,             0.00099893,             0.00099893
                      9,                 1.5135,                 1.6377,                0.79487,                0.78836,                0.39294,                0.40942,                0.17784,                 1.8166,                  1.923,                 1.0371,              0.0009986,              0.0009986,              0.0009986
                     10,                 1.5912,                 2.1432,                 0.8087,                0.77734,                0.40175,                0.41868,                0.17767,                 1.8815,                 1.8137,                 1.0614,             0.00099822,             0.00099822,             0.00099822
                     11,                 1.5743,                 1.3756,                0.82753,                0.80728,                 0.4049,                0.42809,                0.20317,                 1.7827,                 1.8596,                 1.0558,             0.00099781,             0.00099781,             0.00099781
                     12,                 1.6536,                 1.6166,                0.84753,                0.80001,                0.41132,                0.46343,                0.22991,                 1.6948,                 1.7859,                 1.0298,             0.00099735,             0.00099735,             0.00099735
                     13,                 1.5979,                 1.5746,                0.83927,                0.75261,                0.41929,                0.45581,                0.21164,                 1.7733,                 1.8313,                 1.0167,             0.00099685,             0.00099685,             0.00099685
                     14,                 1.4979,                 2.0143,                0.79604,                0.69682,                0.38146,                0.39872,                0.17241,                 1.8612,                 1.8613,                 1.0525,              0.0009963,              0.0009963,              0.0009963
                     15,                 1.6688,                 1.5434,                0.84794,                0.78837,                0.41876,                0.46613,                0.20482,                 1.7418,                 1.7917,                 1.0211,             0.00099571,             0.00099571,             0.00099571
                     16,                 1.4434,                 1.3604,                0.75537,                0.80269,                0.39584,                0.44581,                0.19623,                 1.7895,                  1.855,                 1.0307,             0.00099508,             0.00099508,             0.00099508
                     17,                 1.5807,                  1.719,                0.82444,                0.76467,                0.39957,                0.43536,                0.19121,                 1.8234,                 2.3481,                 1.0389,              0.0009944,              0.0009944,              0.0009944
                     18,                  1.586,                 2.3501,                0.83639,                0.68042,                0.36388,                0.37673,                0.15966,                 1.9756,                   1.93,                 1.0513,             0.00099368,             0.00099368,             0.00099368
                     19,                  1.673,                 1.6407,                0.85272,                0.72424,                0.38998,                0.46444,                0.21074,                 1.7974,                 1.7267,                0.99683,             0.00099291,             0.00099291,             0.00099291
                     20,                 1.7548,                 1.7176,                0.86038,                0.78604,                0.40123,                0.47158,                0.20879,                 1.7129,                 1.5551,                 0.9923,             0.00099211,             0.00099211,             0.00099211
                     21,                 1.5213,                 1.5566,                0.80739,                0.82381,                0.41023,                0.47096,                0.21651,                 1.7207,                 1.6441,                0.98973,             0.00099126,             0.00099126,             0.00099126
                     22,                 1.5106,                 1.5291,                0.79604,                0.81924,                 0.4081,                0.46732,                0.19116,                 1.7372,                 1.6224,                0.99367,             0.00099037,             0.00099037,             0.00099037
                     23,                 1.7102,                 1.5588,                 0.8922,                0.72566,                0.39744,                0.44631,                 0.1797,                 1.8508,                 1.7961,                 1.0265,             0.00098943,             0.00098943,             0.00098943
                     24,                 1.6597,                 1.5385,                0.86709,                0.78092,                0.41769,                0.46428,                0.19894,                 1.8071,                 1.7383,                 1.0084,             0.00098845,             0.00098845,             0.00098845
                     25,                 1.6598,                 1.4395,                0.84974,                0.78956,                0.39798,                0.44482,                0.21384,                 1.7677,                 1.8383,                 1.0366,             0.00098743,             0.00098743,             0.00098743
                     26,                   1.59,                 1.5042,                0.82165,                0.73097,                 0.4065,                0.45234,                0.20534,                 1.6881,                 1.5665,                0.99182,             0.00098637,             0.00098637,             0.00098637
                     27,                  1.522,                   1.39,                0.81535,                0.78721,                0.41183,                0.48965,                0.23294,                  1.642,                 1.4599,                0.97799,             0.00098527,             0.00098527,             0.00098527
                     28,                 1.5608,                  1.361,                0.82197,                0.76268,                0.41262,                0.43554,                0.19591,                  1.736,                 1.8038,                 1.0226,             0.00098412,             0.00098412,             0.00098412
                     29,                 1.4435,                 1.3637,                0.73895,                0.70532,                0.38839,                0.38303,                  0.142,                 1.8506,                 1.7981,                 1.0568,             0.00098293,             0.00098293,             0.00098293
                     30,                 1.5949,                 1.4723,                0.83704,                 0.7466,                0.41284,                0.43442,                0.17798,                 1.7428,                 1.6043,                 1.0109,              0.0009817,              0.0009817,              0.0009817
                     31,                 1.6575,                  1.822,                0.84161,                0.75991,                0.41819,                  0.451,                0.19923,                 1.7159,                 1.5478,                 1.0126,             0.00098042,             0.00098042,             0.00098042
                     32,                  1.657,                 1.5869,                0.87214,                0.70606,                0.43511,                0.47061,                0.21289,                 1.6655,                 1.4928,                0.99143,             0.00097911,             0.00097911,             0.00097911
                     33,                 1.5236,                 1.6139,                0.80828,                0.76599,                0.41183,                0.46853,                0.19705,                 1.7802,                 1.4355,                 1.0441,             0.00097775,             0.00097775,             0.00097775
                     34,                 1.4339,                 1.3001,                0.76581,                0.78761,                0.40757,                0.46123,                0.20952,                 1.7759,                 1.5937,                 1.0632,             0.00097635,             0.00097635,             0.00097635
                     35,                 1.5253,                 1.3547,                 0.7942,                0.73336,                0.40916,                0.46121,                0.22298,                 1.7602,                 1.8036,                 1.0622,             0.00097491,             0.00097491,             0.00097491
                     36,                 1.5562,                 1.3361,                0.84485,                0.74862,                0.40775,                0.45339,                0.20666,                 1.6307,                 1.7571,                0.98154,             0.00097343,             0.00097343,             0.00097343
                     37,                 1.5617,                 1.4511,                0.83466,                0.75299,                0.40543,                0.45341,                 0.1976,                 1.7268,                 1.7125,                 1.0063,             0.00097191,             0.00097191,             0.00097191
                     38,                 1.5567,                 1.9382,                0.80432,                0.74008,                0.41556,                0.47054,                0.20702,                 1.6549,                 1.5518,                0.99378,             0.00097035,             0.00097035,             0.00097035
                     39,                 1.4839,                 1.2837,                0.79743,                 0.7845,                0.41289,                 0.4813,                0.22535,                  1.675,                 1.6067,                0.99047,             0.00096875,             0.00096875,             0.00096875
                     40,                 1.5364,                 1.3409,                0.80749,                0.75908,                0.41797,                 0.4664,                0.20347,                 1.6711,                 1.5288,                0.97774,              0.0009671,              0.0009671,              0.0009671
                     41,                 1.5903,                 1.4369,                0.82649,                0.73528,                0.41138,                0.45425,                0.20275,                 1.6897,                  1.693,                0.98813,             0.00096542,             0.00096542,             0.00096542
                     42,                  1.631,                 1.4211,                0.80797,                0.70886,                0.40213,                0.45484,                 0.1984,                 1.9581,                 1.8249,                 1.0314,             0.00096369,             0.00096369,             0.00096369
                     43,                 1.6735,                 1.4687,                0.85981,                0.74159,                 0.4174,                0.45723,                0.21744,                 1.6773,                 1.7291,                 0.9825,             0.00096193,             0.00096193,             0.00096193
                     44,                 1.6133,                 1.7151,                0.82603,                0.76469,                0.40339,                0.45274,                 0.2083,                  1.743,                 1.7964,                 1.0132,             0.00096013,             0.00096013,             0.00096013
                     45,                 1.5301,                 1.3359,                0.83191,                 0.8048,                0.41023,                0.46444,                0.20553,                 1.6857,                 1.6282,                0.99765,             0.00095828,             0.00095828,             0.00095828
                     46,                 1.5329,                 1.3555,                0.85895,                0.77442,                0.41518,                0.47459,                0.21513,                 1.7152,                 1.7079,                 1.0172,              0.0009564,              0.0009564,              0.0009564
                     47,                 1.5566,                 1.3405,                 0.8212,                0.79167,                  0.413,                0.49016,                0.24479,                  1.725,                 1.4868,                 1.0148,             0.00095448,             0.00095448,             0.00095448
                     48,                  1.615,                 1.8312,                0.81823,                0.77714,                0.41396,                0.48372,                0.23345,                 1.7434,                 1.4113,                 1.0151,             0.00095252,             0.00095252,             0.00095252
                     49,                 1.6316,                 1.5163,                0.84687,                0.78359,                0.41822,                0.46133,                0.20857,                 1.7182,                 1.5668,                 1.0608,             0.00095052,             0.00095052,             0.00095052
                     50,                  1.617,                 1.5093,                0.84239,                0.78505,                0.41445,                0.45915,                0.20771,                 1.7787,                 1.5942,                 1.0714,             0.00094849,             0.00094849,             0.00094849
                     51,                 1.4881,                  1.399,                0.77547,                0.79434,                0.40757,                0.47344,                0.22897,                 1.7206,                 1.7645,                  1.054,             0.00094641,             0.00094641,             0.00094641
                     52,                 1.5819,                 1.5969,                0.85764,                0.78274,                0.42142,                0.47034,                0.20389,                 1.7514,                 1.7067,                 1.0546,              0.0009443,              0.0009443,              0.0009443
                     53,                 1.5371,                 1.5337,                 0.8098,                0.74383,                0.41076,                0.45849,                0.18917,                 1.7616,                 1.6539,                 1.0051,             0.00094215,             0.00094215,             0.00094215
                     54,                   1.65,                 1.6926,                0.85966,                0.76604,                 0.4097,                0.46862,                0.19228,                 1.6872,                 1.5429,                0.97071,             0.00093996,             0.00093996,             0.00093996
                     55,                 1.5517,                 1.5872,                0.78908,                0.72992,                0.39584,                0.44957,                0.18897,                 1.6789,                 1.5562,                0.98014,             0.00093773,             0.00093773,             0.00093773
                     56,                 1.6668,                 1.4601,                0.85365,                0.74601,                0.38625,                0.44503,                0.19262,                 1.7138,                 1.5969,                 1.0336,             0.00093547,             0.00093547,             0.00093547
                     57,                 1.4223,                  1.326,                0.74583,                0.72785,                0.38329,                0.45561,                0.19452,                 1.7478,                 1.6092,                   1.02,             0.00093317,             0.00093317,             0.00093317
                     58,                 1.5876,                 1.3031,                0.82585,                 0.7765,                0.39478,                0.44635,                0.18001,                 1.7279,                 1.5673,                 1.0057,             0.00093083,             0.00093083,             0.00093083
                     59,                 1.6321,                 1.5048,                0.84655,                0.74783,                0.40447,                0.44868,                0.19125,                 1.7384,                 1.5973,                 1.0173,             0.00092846,             0.00092846,             0.00092846
                     60,                 1.5383,                  1.411,                0.79097,                0.78033,                 0.4017,                0.46881,                0.21696,                 1.6878,                 1.6657,                 1.0088,             0.00092605,             0.00092605,             0.00092605
                     61,                 1.5849,                  1.352,                0.81164,                 0.7659,                0.41658,                0.46743,                0.21127,                 1.6972,                  1.539,                 1.0175,             0.00092361,             0.00092361,             0.00092361
