                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                0.90776,                0.95495,                0.85881,                0.37025,                0.19411,                0.22846,                0.10775,                 2.4925,                 3.7386,                 1.6036,               0.068436,              0.0016613,              0.0016613
                      1,                0.91324,                0.95482,                 0.8569,                0.41503,                0.20066,                 0.2351,                0.11083,                  2.501,                 3.6572,                 1.6309,               0.036769,              0.0033279,              0.0033279
                      2,                0.95291,                0.98914,                0.86097,                0.40436,                0.20661,                0.24663,                0.12227,                 2.4137,                   3.72,                  1.477,              0.0051023,              0.0049944,              0.0049944
                      3,                0.99075,                0.99622,                0.85918,                0.35608,                0.18992,                0.22447,                0.10007,                 2.4915,                 3.8531,                  1.543,              0.0049996,              0.0049996,              0.0049996
                      4,                0.97312,                0.97595,                0.86226,                 0.3923,                0.19214,                0.23495,                 0.1075,                 2.4255,                 3.8064,                 1.4566,              0.0049996,              0.0049996,              0.0049996
                      5,                0.99284,                0.98575,                0.86081,                0.41066,                0.19686,                0.22753,                0.10453,                 2.3955,                 3.7463,                 1.5195,              0.0049992,              0.0049992,              0.0049992
                      6,                 1.0109,                0.99517,                0.86241,                0.39681,                0.19384,                0.24869,                0.11696,                 2.5192,                 3.7609,                 1.5008,              0.0049988,              0.0049988,              0.0049988
                      7,                0.98263,                 0.9852,                0.85995,                0.34898,                0.20194,                0.24485,                0.11225,                 2.3633,                 3.7623,                   1.46,              0.0049982,              0.0049982,              0.0049982
                      8,                0.97161,                0.99448,                0.86007,                0.35869,                0.20046,                0.25005,                0.11727,                 2.3977,                 3.9563,                 1.4536,              0.0049976,              0.0049976,              0.0049976
                      9,                0.97441,                0.97691,                0.85981,                 0.3963,                0.20373,                0.25952,                 0.1324,                 2.3501,                 3.9137,                 1.4816,              0.0049969,              0.0049969,              0.0049969
                     10,                 0.9613,                0.96875,                0.85986,                0.38184,                0.21783,                0.24776,                0.12113,                 2.3218,                 3.9163,                 1.4607,               0.004996,               0.004996,               0.004996
                     11,                0.99905,                 1.0016,                0.86721,                0.44339,                 0.1916,                0.23713,                 0.1175,                 2.3131,                 3.9022,                 1.4522,              0.0049951,              0.0049951,              0.0049951
                     12,                0.97128,                0.98941,                0.86257,                0.39435,                0.18618,                0.23243,                0.11412,                  2.356,                 3.8721,                 1.4584,               0.004994,               0.004994,               0.004994
                     13,                 0.9827,                0.99107,                0.86092,                0.41956,                 0.2034,                0.23992,                0.11651,                 2.3591,                 3.7777,                 1.4669,              0.0049929,              0.0049929,              0.0049929
                     14,                0.98787,                0.97395,                0.85743,                0.36842,                0.18045,                0.24072,                0.10673,                 2.4203,                 4.1947,                 1.4525,              0.0049917,              0.0049917,              0.0049917
                     15,                0.96916,                0.96605,                0.85573,                0.36737,                0.20417,                0.25208,                0.12444,                 2.4021,                 3.6744,                 1.4973,              0.0049904,              0.0049904,              0.0049904
                     16,                0.96871,                0.95902,                0.85451,                0.44326,                0.20964,                0.26134,                 0.1275,                 2.3597,                 3.8045,                 1.4689,              0.0049889,              0.0049889,              0.0049889
                     17,                0.97629,                   0.97,                0.85667,                0.38621,                0.19397,                0.24635,                0.11897,                 2.4659,                 3.8342,                 1.4517,              0.0049874,              0.0049874,              0.0049874
                     18,                0.92898,                0.95038,                0.85476,                0.37663,                0.20176,                0.24026,                0.11511,                 2.4851,                 3.6739,                 1.4881,              0.0049858,              0.0049858,              0.0049858
                     19,                0.97468,                0.95958,                0.85281,                0.41275,                0.19299,                0.24528,                0.11446,                 2.3798,                   3.84,                 1.4561,              0.0049841,              0.0049841,              0.0049841
                     20,                0.94538,                0.95917,                0.85116,                0.37701,                0.21604,                0.23778,                0.11376,                 2.3262,                 3.7766,                 1.5051,              0.0049823,              0.0049823,              0.0049823
                     21,                0.95394,                 0.9478,                0.85137,                0.39256,                 0.2058,                0.24525,                0.12299,                 2.3062,                 3.8466,                 1.4592,              0.0049803,              0.0049803,              0.0049803
                     22,                0.91307,                0.92835,                0.84593,                0.39776,                0.19844,                0.24637,                0.12226,                 2.3262,                  3.909,                 1.4763,              0.0049783,              0.0049783,              0.0049783
                     23,                0.90816,                0.93037,                0.85045,                0.40603,                0.19485,                 0.2541,                0.12395,                 2.3951,                 3.9499,                 1.4846,              0.0049762,              0.0049762,              0.0049762
                     24,                0.92958,                0.92635,                0.84951,                0.38506,                0.20308,                0.22868,                0.10394,                  2.449,                  3.831,                 1.5062,               0.004974,               0.004974,               0.004974
                     25,                0.91902,                0.92136,                0.84791,                0.43573,                0.20415,                0.24065,                0.11365,                 2.3563,                 3.7931,                 1.5005,              0.0049717,              0.0049717,              0.0049717
                     26,                0.93727,                0.92124,                0.84609,                0.39785,                 0.1898,                0.24289,                0.11227,                 2.5282,                 3.9306,                 1.5033,              0.0049693,              0.0049693,              0.0049693
                     27,                 0.9115,                0.92667,                0.84326,                0.39248,                0.20601,                0.24779,                0.12202,                 2.3449,                  3.834,                 1.4736,              0.0049668,              0.0049668,              0.0049668
